Region,Station,Longitude,Latitude
AECI,SENECA,-94.61,36.85
AECI,SIMS,-94.23,36.7
AECI,SLAGLE,-93.37,37.49
AECI,SLEDHL,-92.9319,36.3777
AECI,SLVR_DOL,-93.36,36.68
AECI,SPARTA,-93.02,37.04
AECI,SPGCT_TP,-94.57,36.96
AECI,SPOKANE,-93.33,36.98
AECI,STONBRDG,-93.45,36.64
AECI,STULTS,-93.31,36.85
AECI,STVEPIPE,-94.42,36.78
AECI,SWCITY,-94.59,36.52
AECI,SWT_WTR,-94.08,36.85
AECI,T_ROCK,-93.31,36.6
AECI,VERONA,-93.64,36.96
AECI,WALKER,-94.21,37.88
AECI,WALKR_TP,-94.52,36.84
AECI,WANDA,-94.07,36.82
AECI,WARSAW2,-93.36,38.23
AECI,WASHBURN,-93.98,36.55
AECI,WENTWRTH,-93.82,37.04
AECI,WHEATON,-93.95,36.8
AECI,2PBSOUTH,-90.36,36.84
AECI,2RIPLEY,-90.87,36.72
AECI,7GOBKNOB,-90.5492,36.6479
AECI,ADVANCE,-89.9,37.13
AECI,AID_JCT,-90.02,36.9
AECI,ANNAPOLS,-90.6767,37.3587
AECI,ANNISTON,-89.3195,36.8189
AECI,ASHERVIL,-90.2485,36.8644
AECI,AVON_KNT,-89.85,36.52
AECI,BA_ELLIS,-89.86,36.55
AECI,BLOOMFLD,-89.9299,36.9197
AECI,BROSELEY,-90.32,36.75
AECI,CAMPBEL3,-90.08,36.49
AECI,CURRENT,-91.031,36.9945
AECI,DELTA,-89.75,37.2
AECI,DOGWOOD,-89.58,36.66
AECI,DONIPHAN,-90.7934,36.6576
AECI,ELLINGTN,-91.02,37.36
AECI,ELLSNORE,-90.91,37.15
AECI,ESEX,-89.8398,36.8677
AECI,ESEX,-89.8546,36.8714
AECI,FLET_AEC,-91.0892,37.4697
AECI,FRDA,-90.2871,37.5839
AECI,FRISCO,-89.83,36.55
AECI,GARWOOD,-90.8404,37.0932
AECI,GIBSON2,-90.0768,36.4418
AECI,GID_JCT,-89.82,36.47
AECI,GIDEON,-89.82,36.47
AECI,GLOVER2,-90.78,37.5
AECI,GRANITVL,-90.7053,37.6822
AECI,GRN_FRST,-90.4658,36.7918
AECI,HARVIELL,-90.52,36.76
AECI,HENDRCKS,-90.63,37
AECI,HILLIARD,-90.48,36.83
AECI,HOLDEN2,-93.9981,38.7529
AECI,IDAL_M_A,-89.8304,36.865
AECI,IDALIA,-89.8304,36.865
AECI,KENNETT,-90.0503,36.272
AECI,LEEPER,-90.721,37.0805
AECI,LILBOURN,-89.61,36.59
AECI,LUTESVL,-89.8357,37.2583
AECI,MALDEN,-89.9616,36.542
AECI,MATTHEWS,-89.59,36.62
AECI,MILLCRK2,-90.3074,37.5118
AECI,MILLSPR2,-90.6805,37.0661
AECI,MORE_JCT,-89.67,36.71
AECI,MOREHS,-89.67,36.71
AECI,MORLEY,-89.62,37.03
AECI,NODAWAY,-94.7861,40.2868
AECI,NODAWAY,-94.7917,40.2877
AECI,OAKGROV2,-90.4287,37.5853
AECI,PARMA,-89.86,36.59
AECI,PATRSON,-90.5588,37.192
AECI,PIEDMONT,-90.6891,37.1436
